t,d,p,c,a
"Doctor Strange, Sorcerer Supreme Omnibus Vol. 1 (Hardcover)",2017,125,1064,others
The Mighty Thor Omnibus Vol. 3 (Hardcover),2017,125,1000,others
Silver Surfer by Slott & Allred Omnibus (Hardcover),2018,75,688,others
SILVER SURFER EPIC COLLECTION: THE INFINITY GAUNTLET TPB (Trade Paperback),2017,34.99,488,others
Daredevil Epic Collection: Heart of Darkness (Trade Paperback),2017,39.99,488,others
Silver Surfer Epic Collection: Thanos Quest (Trade Paperback),2018,39.99,480,others
Annihilation: The Complete Collection Vol. 1 (Trade Paperback),2018,34.99,472,Andy Lanning
Silver Surfer Epic Collection: Inner Demons (Trade Paperback),2019,39.99,464,others
Fantastic Four Epic Collection: The Coming of Galactus (Trade Paperback),2018,39.99,448,Stan Lee
"Defenders Epic Collection: Ashes, Ashesâ€¦ (Trade Paperback)",2017,39.99,440,others
Incredible Hulk Epic Collection: The Hulk Must Die (Trade Paperback),2017,39.99,432,Stan Lee
Impossible Man (Trade Paperback),2011,34.99,360,others
GUARDIANS OF THE GALAXY CLASSIC: IN THE YEAR 3000 VOL. 3 TPB (Trade Paperback),2017,34.99,352,others
Infinity War Aftermath (Hardcover),2018,0,352,others
Thor: Blood & Thunder (Trade Paperback),2011,34.99,336,others
Fantastic Four: Behold...Galactus! (Hardcover),2018,50,312,others
Marvel Masterworks: The Fantastic Four Vol. 7 (Hardcover),2004,9.99,304,Stan Lee
X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (Trade Paperback),2008,29.99,288,others
Fantastic Four: The World's Greatest Comics Magazine (Trade Paperback),2018,24.99,280,others
The Unbeatable Squirrel Girl Vol. 4 (Hardcover),2019,34.99,272,others
Marvel Masterworks: The Mighty Thor (Hardcover),2011,54.99,248,Stan Lee
Thanos Imperative (Hardcover),2011,24.99,248,Andy Lanning
Marvel Masterworks: The Fantastic Four Vol. 6 Variant (DM Only) (Trade Paperback),2011,24.99,240,Stan Lee
Marvel Masterworks: The Fantastic Four Vol. 6 (Trade Paperback),2011,24.99,240,Stan Lee
Marvel Universe: Time and Again (Trade Paperback),2019,24.99,232,others
Silver Surfer Vol. 5: A Power Greater Than Cosmic (Trade Paperback),2017,19.99,184,others
Deadpool Team-Up Vol. 3 (Hardcover),2011,19.99,168,others
Silver Surfer Vol. 1: Communion (Trade Paperback),2004,0,144,others
Chaos War One-Shots (Trade Paperback),2011,15.99,128,others
The Unbeatable Squirrel Girl Vol. 8: My Best Friend's Squirrel (Trade Paperback),2018,15.99,128,others
Moon Girl and the Marvel Universe (Trade Paperback),2018,15.99,112,others
Silver Surfer by Stan Lee & Moebius (2013) #1,2013,7.99,104,Stan Lee
Silver Surfer: Parable 30th Anniversary Edition (Hardcover),2019,39.99,88,Stan Lee
Point One (2011) #1 (Bradshaw Variant),2011,5.99,64,others
Point One (2011) #1 (Bradshaw Inked Variant),2011,5.99,64,others
Point One (2011) #1,2011,5.99,64,others
Defenders: Strange Heroes (2011) #1,2011,4.99,64,others
The Mighty Thor Annual (2012) #1,2012,4.99,56,others
Avengers (1996) #12,1997,2.99,54,others
Infinity Countdown (2018) #4,2018,4.99,48,others
Annihilators (2010) #3,2011,4.99,48,Andy Lanning
Annihilators (2010) #2,2011,4.99,48,Andy Lanning
Annihilators (2010) #1 (GARNER VARIANT),2011,4.99,48,Andy Lanning
Annihilators (2010) #3 (DJURDJEVIC VARIANT),2011,4.99,48,Andy Lanning
True Believers: Infinity Gauntlet (2018) #1,2018,1,48,others
Annihilators (2010) #1,2011,4.99,48,Andy Lanning
Infinity Countdown (2018) #3,2018,4.99,48,others
Annihilators (2010) #4 (VARIANT),2011,4.99,48,Andy Lanning
Annihilators (2010) #4,2011,4.99,48,Andy Lanning
X-Men (1991) #98,2000,1.99,44,others
The Thanos Imperative (2010) #1,2010,3.99,40,Andy Lanning
The Mighty Thor (2011) #1 (Simonson Variant),2011,3.99,40,Matt Fraction
The Thanos Imperative: Devastation (2010) #1,2011,3.99,40,Andy Lanning
Annihilation - Scourge: Silver Surfer (2019) #1,2019,4.99,40,Dan Abnett
Silver Surfer Annual (2018) #1,2018,4.99,40,others
Iron Man (1998) #35,2000,0,36,others
Defenders: From the Marvel Vault (2011) #1,2011,3.99,32,others
The Thanos Imperative (2010) #3,2010,3.99,32,Andy Lanning
Fantastic Four (1998) #586,2010,2.99,32,Jonathan Hickman
Fantastic Four (1998) #585,2010,2.99,32,Jonathan Hickman
The Thanos Imperative (2010) #6,2010,3.99,32,Andy Lanning
Chaos War (2010) #3,2010,3.99,32,Greg Pak
Fantastic Four (1998) #584,2010,2.99,32,Jonathan Hickman
Chaos War (2010) #2,2010,3.99,32,others
The Thanos Imperative (2010) #5,2010,3.99,32,Andy Lanning
Fantastic Four (1998) #583,2010,2.99,32,Jonathan Hickman
The Thanos Imperative (2010) #4,2010,3.99,32,Andy Lanning
The Thanos Imperative (2010) #2,2010,3.99,32,Andy Lanning
Fantastic Four (1998) #585 (2ND PRINTING VARIANT),2011,2.99,32,Jonathan Hickman
Marvel's Greatest Creators: Silver Surfer - Rude Awakening (2019) #1,2019,1,32,others
Marvels: Eye of the Camera (2008) #4,2009,3.99,32,others
Skaar: Son of Hulk (2008) #8,2009,2.99,32,Greg Pak
Silver Surfer: Black (2019) #1,2019,3.99,32,others
Nova (2007) #15,2008,2.99,32,Andy Lanning
Nova (2007) #14,2008,2.99,32,Andy Lanning
Sentinel Squad O*N*E (2006) #2,2006,0,32,others
Silver Surfer: Black (2019) #2,2019,3.99,32,others
Silver Surfer: Black (2019) #3,2019,3.99,32,others
Silver Surfer: Black (2019) #4,2019,3.99,32,others
Fantastic Four (1998) #586 (2ND PRINTING VARIANT),2011,2.99,32,Jonathan Hickman
Fantastic Four (1998) #584 (2ND PRINTING VARIANT),2011,2.99,32,Jonathan Hickman
Silver Surfer: Black (2019) #5,2019,3.99,32,others
Fantastic Four (1998) #583 (3RD PRINTING VARIANT),2011,2.99,32,Jonathan Hickman
Fear Itself: The Deep (2011) #3,2011,2.99,32,others
The Mighty Thor (2011) #3 (I Am Captain America),2011,3.99,32,Matt Fraction
Silver Surfer (2010) #5,2011,2.99,32,Greg Pak
The Mighty Thor (2011) #5,2011,3.99,32,Matt Fraction
The Mighty Thor (2011) #6 (Architect Sketch Variant),2011,3.99,32,Matt Fraction
Fear Itself: The Deep (2011) #1,2011,2.99,32,others
The Mighty Thor (2011) #6,2011,3.99,32,Matt Fraction
Fear Itself: The Deep (2011) #4,2011,2.99,32,others
Silver Surfer (2010) #4,2011,2.99,32,Greg Pak
The Mighty Thor (2011) #6 (Architect Variant),2011,3.99,32,Matt Fraction
Spider-Man Marvel Adventures (2010) #19,2011,2.99,32,others
Defenders (2011) #1,2011,3.99,32,Matt Fraction
Defenders (2011) #8,2012,3.99,32,Matt Fraction
The Unbeatable Squirrel Girl (2015) #27,2017,3.99,32,others
Moon Girl and Devil Dinosaur (2015) #26,2017,3.99,32,others
Silver Surfer (2010) #3,2011,2.99,32,Greg Pak
The Unbeatable Squirrel Girl (2015) #29,2018,3.99,32,others
Silver Surfer (2010) #2,2011,2.99,32,Greg Pak
The Unbeatable Squirrel Girl (2015) #30,2018,3.99,32,others
True Believers: Rebirth of Thanos (2018) #1,2018,1,32,others
True Believers: Fantastic Four - The Coming of Galactus (2018) #1,2018,1,32,Stan Lee
Silver Surfer (2010) #1,2011,2.99,32,Greg Pak
Chaos War (2010) #5,2011,3.99,32,others
Fear Itself: The Deep (2011) #2,2011,2.99,32,others
