,text,size
2126,surfer,0.4808094965426026
1960,silver,0.36825004793002797
885,galactus,0.18852549623587594
1346,marvel,0.16814436150767315
2452,world,0.16582832347037738
1531,one,0.16582832347037738
2308,universe,0.15378492567643937
1330,man,0.1514688876391436
644,earth,0.14174152788250133
1482,new,0.13247737573331825
457,cosmic,0.11024341057527881
776,fantastic,0.10700095732306474
856,four,0.1032952964633915
2192,thor,0.10283208885593234
386,collect,0.10190567364101404
1028,hero,0.09449435192166755
2062,star,0.08569340737994362
1611,pgs,0.08523019977248446
2185,thanos,0.08337736934264785
1798,return,0.08013491609043376
761,face,0.08013491609043376
1071,hulk,0.07967170848297461
2088,story,0.07920850087551545
942,great,0.07781887805313799
1025,herald,0.07226038676362813
1871,save,0.07179717915616898
2092,strange,0.07133397154870982
1731,rat,0.07040755633379152
397,come,0.07040755633379152
1451,must,0.07040755633379152
1656,power,0.0694811411188732
1377,men,0.06901793351141405
208,battle,0.06716510308157743
2036,spider,0.06484906504428166
188,back,0.0643858574368225
1628,planet,0.0634594422219042
2024,space,0.0634594422219042
179,avenger,0.0634594422219042
1327,make,0.06160661179206757
399,comic,0.06114340418460842
2393,war,0.06114340418460842
2161,team,0.057900950932394335
2061,stand,0.057900950932394335
2117,super,0.05604812050255772
725,even,0.055121705287639405
110,annual,0.05373208246526194
821,first,0.05373208246526194
2146,take,0.052805667250343635
1349,master,0.052805667250343635
1246,last,0.05234245964288448
964,guest,0.05141604442796617
2212,time,0.05095283682050702
1637,plus,0.04863679878321124
2060,stan,0.04817359117575209
814,find,0.047247175960833776
1254,lead,0.04678396835337462
1579,part,0.04678396835337462
842,force,0.04632076074591547
1276,life,0.04632076074591547
906,get,0.04585755313845631
1362,may,0.04585755313845631
1657,powerful,0.04539434553099716
1177,issue,0.044467930316078846
613,doctor,0.04354151510116054
683,end,0.04307830749370139
913,girl,0.04261509988624223
926,god,0.042151892278783076
1500,norrin,0.041225477063864764
2085,stop,0.041225477063864764
106,annihilation,0.04076226945640561
217,become,0.03937264663402815
347,change,0.03937264663402815
703,entire,0.03937264663402815
1481,never,0.038909439026568994
794,feature,0.038909439026568994
221,begin,0.03844623141910984
2406,way,0.03844623141910984
67,alien,0.03844623141910984
792,fear,0.03751981620419153
617,doom,0.03705660859673238
805,fight,0.03659340098927322
1663,prepare,0.03566698577435491
697,enough,0.03566698577435491
51,age,0.03520377816689576
768,fall,0.03520377816689576
1261,lee,0.03520377816689576
2011,son,0.0347405705594366
1126,infinity,0.0347405705594366
1232,know,0.033814155344518294
1289,loki,0.033350947737059135
727,ever,0.03288774012959998
1286,live,0.03288774012959998
1898,see,0.03242453252214083
886,galaxy,0.03242453252214083
242,big,0.03196132491468167
1005,heart,0.03149811730722252
1524,old,0.03149811730722252
445,continue,0.031034909699763365
2148,tale,0.03057170209230421
1398,mighty,0.030108494484845056
1190,join,0.030108494484845056
1716,radd,0.030108494484845056
153,asgard,0.030108494484845056
240,beyond,0.0296452868773859
2281,ultimate,0.0296452868773859
1895,secret,0.0296452868773859
2199,three,0.0296452868773859
573,destroyer,0.029182079269926744
527,death,0.02871887166246759
631,drax,0.02871887166246759
40,adventure,0.028255664055008435
349,chaos,0.028255664055008435
1415,miss,0.027792456447549282
708,epic,0.027792456447549282
1464,namor,0.027792456447549282
364,city,0.027792456447549282
524,deadpool,0.027792456447549282
521,day,0.027329248840090126
1369,meanwhile,0.027329248840090126
1056,hope,0.027329248840090126
542,defender,0.02686604123263097
2276,two,0.02686604123263097
1397,might,0.02686604123263097
2187,thing,0.026402833625171818
512,daredevil,0.026402833625171818
1313,mad,0.026402833625171818
1542,original,0.02593962601771266
1562,page,0.02593962601771266
147,artifact,0.02593962601771266
513,dark,0.02593962601771266
1294,look,0.02593962601771266
1178,jack,0.02593962601771266
462,could,0.02593962601771266
2053,squirrel,0.02593962601771266
2476,year,0.02593962601771266
1427,monster,0.02593962601771266
778,far,0.02547641841025351
1020,help,0.025013210802794353
2067,start,0.025013210802794353
522,dead,0.024550003195335197
731,everything,0.024550003195335197
811,final,0.024550003195335197
1224,kirby,0.024086795587876044
1326,major,0.024086795587876044
1303,love,0.024086795587876044
1279,like,0.024086795587876044
224,behind,0.024086795587876044
2460,wraith,0.024086795587876044
1977,skrull,0.024086795587876044
1832,rocket,0.023623587980416888
289,bring,0.023160380372957735
1520,odin,0.02269717276549858
813,finally,0.02269717276549858
2395,warlock,0.02269717276549858
784,fate,0.02269717276549858
1260,leave,0.02269717276549858
145,arrive,0.02269717276549858
1665,present,0.02269717276549858
1503,nova,0.02269717276549858
867,friend,0.02269717276549858
146,art,0.022233965158039423
786,father,0.022233965158039423
520,dawn,0.022233965158039423
89,amaze,0.022233965158039423
2122,supreme,0.022233965158039423
1955,sif,0.022233965158039423
2080,steve,0.022233965158039423
1408,mind,0.022233965158039423
108,annihilus,0.022233965158039423
646,eater,0.022233965158039423
270,book,0.022233965158039423
1473,need,0.02177075755058027
1627,plan,0.02177075755058027
1381,mephisto,0.02177075755058027
525,deal,0.021307549943121114
1953,side,0.021307549943121114
2223,together,0.020844342335661962
1297,lord,0.020844342335661962
1194,journey,0.020844342335661962
2271,turn,0.020844342335661962
2417,well,0.020844342335661962
687,enemy,0.020844342335661962
2197,threat,0.020844342335661962
1586,past,0.020844342335661962
1222,king,0.020381134728202806
316,captain,0.020381134728202806
1000,head,0.020381134728202806
1356,material,0.020381134728202806
1847,run,0.020381134728202806
332,catch,0.020381134728202806
585,devourer,0.020381134728202806
1914,sentinel,0.020381134728202806
1371,meet,0.020381134728202806
351,character,0.020381134728202806
66,alicia,0.020381134728202806
2362,villain,0.020381134728202806
595,dire,0.019917927120743653
979,hand,0.019454719513284497
1945,shock,0.019454719513284497
2327,upon,0.019454719513284497
1416,mission,0.01899151190582534
1374,member,0.01899151190582534
1709,quest,0.01899151190582534
81,also,0.01899151190582534
986,happen,0.01899151190582534
2098,strike,0.01899151190582534
2398,warrior,0.01899151190582534
34,action,0.01899151190582534
140,army,0.01852830429836619
2443,witness,0.01852830429836619
1049,home,0.01852830429836619
1870,savage,0.01852830429836619
164,atlantis,0.01852830429836619
308,cable,0.01852830429836619
908,giant,0.01852830429836619
1187,job,0.01852830429836619
2188,think,0.01852830429836619
1114,include,0.01852830429836619
1802,revelation,0.01852830429836619
2405,wave,0.01852830429836619
2392,want,0.01852830429836619
1927,set,0.01852830429836619
1299,lose,0.018065096690907032
849,former,0.01760188908344788
190,bad,0.01760188908344788
2446,wolverine,0.01760188908344788
2031,special,0.017138681475988723
835,foe,0.017138681475988723
111,another,0.017138681475988723
1823,rise,0.017138681475988723
1801,reveal,0.017138681475988723
1837,ronan,0.017138681475988723
425,confront,0.017138681475988723
2447,woman,0.017138681475988723
914,give,0.017138681475988723
2429,win,0.017138681475988723
1072,human,0.017138681475988723
2019,soul,0.017138681475988723
735,evolutionary,0.017138681475988723
2015,sorcerer,0.017138681475988723
962,guardian,0.017138681475988723
2168,tell,0.017138681475988723
149,artist,0.016675473868529567
1188,john,0.016675473868529567
916,gladiator,0.016675473868529567
1172,iron,0.016675473868529567
181,await,0.016675473868529567
560,denise,0.016675473868529567
303,buscema,0.016675473868529567
523,deadly,0.016675473868529567
729,every,0.016675473868529567
538,deep,0.016675473868529567
1943,shin,0.016675473868529567
1040,hit,0.016675473868529567
743,existence,0.016675473868529567
1238,kree,0.016675473868529567
2383,wait,0.016675473868529567
943,green,0.016675473868529567
2050,squad,0.016675473868529567
249,black,0.016212266261070415
471,cover,0.016212266261070415
1292,long,0.01574905865361126
168,attack,0.01574905865361126
1035,high,0.01574905865361126
2458,would,0.015285851046152104
32,across,0.015285851046152104
837,follow,0.015285851046152104
2205,thunder,0.015285851046152104
195,balance,0.015285851046152104
1116,incredible,0.015285851046152104
2128,surprise,0.015285851046152104
2306,unite,0.015285851046152104
144,arrival,0.01482264343869295
341,certain,0.01482264343869295
1452,mutant,0.01482264343869295
1900,seek,0.01482264343869295
310,call,0.01482264343869295
1920,series,0.01482264343869295
1974,skaar,0.01482264343869295
1941,shi,0.01482264343869295
1352,masterworks,0.01482264343869295
2375,vol,0.01482264343869295
109,anniversary,0.01482264343869295
574,destruction,0.01482264343869295
107,annihilator,0.01482264343869295
587,die,0.01482264343869295
2481,york,0.01482264343869295
1811,richards,0.01482264343869295
843,forever,0.01482264343869295
791,favorite,0.01482264343869295
774,fan,0.01482264343869295
2222,toe,0.01482264343869295
1578,parker,0.01482264343869295
899,gauntlet,0.014359435831233796
75,ally,0.014359435831233796
1713,raccoon,0.014359435831233796
125,appearance,0.013896228223774641
1462,name,0.013896228223774641
880,future,0.013896228223774641
1354,match,0.013896228223774641
1110,impossible,0.013433020616315485
1045,hold,0.013433020616315485
1704,put,0.013433020616315485
1990,small,0.013433020616315485
771,family,0.013433020616315485
2322,untold,0.01296981300885633
2310,unleash,0.01296981300885633
533,decide,0.01296981300885633
517,daughter,0.01296981300885633
2103,sub,0.01296981300885633
1707,quasar,0.01296981300885633
2469,wrong,0.01296981300885633
2468,writer,0.01296981300885633
2130,survive,0.01296981300885633
2242,tragedy,0.01296981300885633
609,dive,0.01296981300885633
1521,offer,0.01296981300885633
730,everyone,0.01296981300885633
370,classic,0.01296981300885633
2254,tree,0.01296981300885633
806,figure,0.01296981300885633
2484,zenn,0.01296981300885633
352,charge,0.01296981300885633
77,alone,0.01296981300885633
1617,picture,0.01296981300885633
2167,teen,0.01296981300885633
299,bullet,0.01296981300885633
1282,line,0.01296981300885633
229,ben,0.01296981300885633
121,apart,0.01296981300885633
1934,shake,0.01296981300885633
184,away,0.01296981300885633
1131,inhumans,0.01296981300885633
300,burn,0.01296981300885633
1857,sakaar,0.01296981300885633
1840,round,0.01296981300885633
1878,scene,0.01296981300885633
1378,menace,0.01296981300885633
2402,watch,0.01296981300885633
1229,knight,0.01296981300885633
1740,reality,0.012506605401397176
540,defeat,0.012506605401397176
1217,kill,0.012506605401397176
600,discover,0.012043397793938022
197,band,0.012043397793938022
1743,realm,0.011580190186478868
1756,reclaim,0.011580190186478868
276,brand,0.011580190186478868
1539,order,0.011580190186478868
1457,mystery,0.011580190186478868
194,bal,0.011580190186478868
2218,titan,0.011580190186478868
2082,still,0.011580190186478868
1935,shalla,0.011580190186478868
78,along,0.011580190186478868
1680,problem,0.011580190186478868
2467,write,0.011580190186478868
1714,race,0.011580190186478868
1534,open,0.011580190186478868
1456,mysterious,0.011580190186478868
858,fraction,0.011116982579019712
1526,olivier,0.011116982579019712
1247,late,0.011116982579019712
115,anticipate,0.011116982579019712
407,communion,0.011116982579019712
1211,key,0.011116982579019712
2027,spaceways,0.011116982579019712
1813,ride,0.011116982579019712
859,fracture,0.011116982579019712
1814,rider,0.011116982579019712
826,five,0.011116982579019712
2456,worth,0.011116982579019712
930,golden,0.011116982579019712
2441,within,0.011116982579019712
36,adam,0.011116982579019712
1317,magazine,0.011116982579019712
141,around,0.011116982579019712
1357,matt,0.011116982579019712
1368,mean,0.011116982579019712
1344,mariner,0.011116982579019712
1598,peek,0.011116982579019712
2157,target,0.011116982579019712
1764,red,0.011116982579019712
567,desperate,0.011116982579019712
1340,many,0.011116982579019712
664,ellie,0.011116982579019712
676,empire,0.011116982579019712
681,encounter,0.011116982579019712
2480,yet,0.011116982579019712
2404,water,0.011116982579019712
171,attention,0.011116982579019712
172,attract,0.011116982579019712
1766,reed,0.011116982579019712
2474,xavier,0.011116982579019712
726,event,0.011116982579019712
531,debut,0.011116982579019712
1782,reprint,0.011116982579019712
1173,isbn,0.011116982579019712
1689,protect,0.011116982579019712
1899,seed,0.011116982579019712
1440,motion,0.011116982579019712
1104,imperative,0.011116982579019712
356,child,0.011116982579019712
961,guard,0.011116982579019712
1036,highly,0.011116982579019712
385,coipel,0.011116982579019712
1995,sneak,0.011116982579019712
1039,history,0.011116982579019712
91,america,0.011116982579019712
2442,without,0.011116982579019712
945,greenwood,0.011116982579019712
1891,sea,0.011116982579019712
884,galactic,0.010653774971560557
2397,warn,0.010653774971560557
446,control,0.010653774971560557
478,create,0.010190567364101403
1942,shift,0.010190567364101403
702,enter,0.010190567364101403
1259,learn,0.010190567364101403
2376,volstagg,0.010190567364101403
2250,travel,0.010190567364101403
984,hang,0.009727359756642249
1734,ray,0.009727359756642249
243,bill,0.009727359756642249
1541,origin,0.009727359756642249
752,explore,0.009727359756642249
58,aid,0.009727359756642249
298,build,0.009727359756642249
381,close,0.009727359756642249
820,firelord,0.009727359756642249
514,darkness,0.009727359756642249
1311,machine,0.009727359756642249
1485,next,0.009727359756642249
847,form,0.009727359756642249
759,eye,0.009727359756642249
1587,path,0.009727359756642249
1948,show,0.009727359756642249
2002,soldier,0.009727359756642249
1424,moment,0.009727359756642249
578,determine,0.009727359756642249
1592,pay,0.009727359756642249
2260,trip,0.009727359756642249
1854,sacrifice,0.009727359756642249
2198,threaten,0.009727359756642249
1376,memory,0.009727359756642249
1082,hunt,0.009727359756642249
169,attempt,0.009727359756642249
280,break,0.009727359756642249
477,crazy,0.009264152149183094
2178,terrify,0.009264152149183094
212,beast,0.009264152149183094
211,bear,0.009264152149183094
1068,huat,0.009264152149183094
2486,zone,0.009264152149183094
154,asgardian,0.009264152149183094
1736,read,0.009264152149183094
41,advisory,0.009264152149183094
1576,parental,0.009264152149183094
1348,massive,0.009264152149183094
1970,sinister,0.009264152149183094
1610,peter,0.009264152149183094
2284,ultron,0.009264152149183094
1917,sequel,0.009264152149183094
2217,tippy,0.009264152149183094
2124,surf,0.009264152149183094
159,assault,0.009264152149183094
1738,ready,0.009264152149183094
95,ancient,0.009264152149183094
2112,suggest,0.009264152149183094
1105,imperial,0.009264152149183094
2311,unlikely,0.009264152149183094
312,cancerverse,0.009264152149183094
359,choose,0.009264152149183094
12,abduction,0.009264152149183094
1339,mantis,0.009264152149183094
1073,humanity,0.009264152149183094
2123,sure,0.009264152149183094
1164,invasion,0.009264152149183094
235,best,0.009264152149183094
1240,lady,0.009264152149183094
951,grimm,0.009264152149183094
1475,negative,0.009264152149183094
2058,stake,0.009264152149183094
1700,puppet,0.009264152149183094
1160,introduce,0.009264152149183094
1242,land,0.009264152149183094
469,course,0.009264152149183094
421,conclusion,0.009264152149183094
2044,spread,0.009264152149183094
2448,wonder,0.009264152149183094
812,finale,0.009264152149183094
246,birth,0.009264152149183094
2247,transport,0.009264152149183094
879,fury,0.009264152149183094
1833,rogers,0.009264152149183094
69,alike,0.009264152149183094
2056,stage,0.009264152149183094
1817,right,0.009264152149183094
1784,rescue,0.00880094454172394
84,alternate,0.00880094454172394
954,groot,0.00880094454172394
112,answer,0.00880094454172394
934,good,0.00880094454172394
658,elder,0.008337736934264784
366,claim,0.008337736934264784
479,creation,0.008337736934264784
1318,magic,0.008337736934264784
1274,lie,0.008337736934264784
1902,seem,0.00787452932680563
1014,hell,0.00787452932680563
2424,whole,0.00787452932680563
564,depth,0.00787452932680563
2265,true,0.00787452932680563
1856,saga,0.00787452932680563
876,full,0.00787452932680563
1629,plant,0.00787452932680563
572,destroy,0.00787452932680563
387,collection,0.00787452932680563
160,assemble,0.00787452932680563
1892,search,0.00787452932680563
623,dormammu,0.00787452932680563
796,feel,0.00787452932680563
226,believe,0.00787452932680563
2177,terrible,0.00787452932680563
2175,terrax,0.00787452932680563
1800,reunite,0.00787452932680563
346,chance,0.00787452932680563
2275,twist,0.00787452932680563
510,dangerous,0.00787452932680563
1947,short,0.007411321719346475
1843,rsquo,0.007411321719346475
1163,invader,0.007411321719346475
1057,horde,0.007411321719346475
960,guarantee,0.007411321719346475
594,dinosaur,0.007411321719346475
938,grand,0.007411321719346475
1925,serve,0.007411321719346475
2314,unmatched,0.007411321719346475
667,embark,0.007411321719346475
2026,spaceknights,0.007411321719346475
1465,nancy,0.007411321719346475
648,echh,0.007411321719346475
2269,try,0.007411321719346475
1750,reborn,0.007411321719346475
1207,keep,0.007411321719346475
1214,kid,0.007411321719346475
2007,solve,0.007411321719346475
334,celebrate,0.007411321719346475
340,century,0.007411321719346475
101,angry,0.007411321719346475
1930,seven,0.007411321719346475
622,doreen,0.007411321719346475
1342,mar,0.007411321719346475
161,astonish,0.007411321719346475
2074,steal,0.007411321719346475
1218,killer,0.007411321719346475
1150,intergalactic,0.007411321719346475
1308,luckily,0.007411321719346475
2221,today,0.007411321719346475
365,civilization,0.007411321719346475
2101,struggle,0.007411321719346475
974,hail,0.007411321719346475
1968,single,0.007411321719346475
757,extravaganza,0.007411321719346475
2089,straight,0.007411321719346475
983,handle,0.007411321719346475
550,delve,0.007411321719346475
2229,torch,0.007411321719346475
1973,size,0.007411321719346475
210,baxter,0.007411321719346475
993,hat,0.007411321719346475
2377,volume,0.007411321719346475
787,fault,0.007411321719346475
2295,underworld,0.007411321719346475
1409,mini,0.007411321719346475
1008,heaven,0.007411321719346475
368,clash,0.007411321719346475
734,evil,0.007411321719346475
732,everywhere,0.007411321719346475
1335,mankind,0.007411321719346475
2450,word,0.007411321719346475
2348,vengeance,0.007411321719346475
1571,panther,0.007411321719346475
1648,posse,0.007411321719346475
2209,tie,0.007411321719346475
709,epting,0.007411321719346475
1653,potential,0.007411321719346475
28,acclaim,0.007411321719346475
2048,spurrier,0.007411321719346475
1026,hercules,0.007411321719346475
31,acheron,0.007411321719346475
1431,moon,0.007411321719346475
2457,worthy,0.007411321719346475
33,act,0.007411321719346475
1249,latveria,0.007411321719346475
1742,really,0.007411321719346475
2084,stone,0.006948114111887321
1183,jean,0.006948114111887321
1614,phoenix,0.006948114111887321
1484,news,0.006484906504428165
1623,pit,0.006484906504428165
1447,much,0.006484906504428165
2426,wield,0.006484906504428165
393,combat,0.006484906504428165
721,eternity,0.006484906504428165
2064,starhawk,0.006484906504428165
1691,prove,0.006484906504428165
1718,rag,0.006021698896969011
1296,loose,0.006021698896969011
770,familiar,0.006021698896969011
2010,something,0.006021698896969011
1552,overcome,0.006021698896969011
236,beta,0.006021698896969011
2293,understand,0.006021698896969011
1651,possibly,0.006021698896969011
845,forget,0.006021698896969011
86,always,0.006021698896969011
1778,remain,0.006021698896969011
342,challenge,0.006021698896969011
29,accuser,0.006021698896969011
1618,piece,0.006021698896969011
1602,perfect,0.006021698896969011
1907,self,0.006021698896969011
1606,person,0.006021698896969011
1690,protector,0.005558491289509856
1724,rampage,0.005558491289509856
269,bonus,0.005558491289509856
1831,rock,0.005558491289509856
1791,responsible,0.005558491289509856
2119,superstar,0.005558491289509856
2220,title,0.005558491289509856
2436,wisdom,0.005558491289509856
1193,jonathan,0.005558491289509856
2219,titanic,0.005558491289509856
1428,monstrous,0.005558491289509856
1792,rest,0.005558491289509856
940,grapple,0.005558491289509856
824,fist,0.005558491289509856
79,alpha,0.005558491289509856
1445,mouth,0.005558491289509856
1695,psycho,0.005558491289509856
1698,punisher,0.005558491289509856
723,evacuate,0.005558491289509856
1446,move,0.005558491289509856
73,alliance,0.005558491289509856
302,bury,0.005558491289509856
76,almost,0.005558491289509856
902,gem,0.005558491289509856
2243,tragic,0.005558491289509856
2286,unbeatable,0.005558491289509856
1708,queen,0.005558491289509856
301,burst,0.005558491289509856
711,erskine,0.005558491289509856
1120,industry,0.005558491289509856
114,anti,0.005558491289509856
2344,vast,0.005558491289509856
742,exile,0.005558491289509856
1382,merc,0.005558491289509856
1147,intend,0.005558491289509856
911,giganormous,0.005558491289509856
1336,manner,0.005558491289509856
489,critically,0.005558491289509856
2081,stewart,0.005558491289509856
2409,wear,0.005558491289509856
1872,savior,0.005558491289509856
1364,mayhem,0.005558491289509856
2021,sound,0.005558491289509856
284,breathe,0.005558491289509856
1343,march,0.005558491289509856
2347,vell,0.005558491289509856
157,ask,0.005558491289509856
2414,weird,0.005558491289509856
2412,wed,0.005558491289509856
2350,venom,0.005558491289509856
1779,replace,0.005558491289509856
274,boy,0.005558491289509856
907,ghost,0.005558491289509856
2094,streak,0.005558491289509856
1889,script,0.005558491289509856
1309,lunella,0.005558491289509856
60,air,0.005558491289509856
503,cyclops,0.005558491289509856
1888,scrier,0.005558491289509856
2096,street,0.005558491289509856
2394,warbound,0.005558491289509856
1735,reach,0.005558491289509856
420,conclude,0.005558491289509856
2430,wing,0.005558491289509856
120,anywhere,0.005558491289509856
2009,someone,0.005558491289509856
501,cut,0.005558491289509856
1394,middle,0.005558491289509856
406,common,0.005558491289509856
272,boundary,0.005558491289509856
829,flight,0.005558491289509856
1830,robot,0.005558491289509856
1165,invent,0.005558491289509856
1271,level,0.005558491289509856
1570,pantheon,0.005558491289509856
2360,vile,0.005558491289509856
228,beloved,0.005558491289509856
2475,yancy,0.005558491289509856
1051,homeworld,0.005558491289509856
1556,oversized,0.005558491289509856
2321,unthinkable,0.005558491289509856
1839,ross,0.005558491289509856
643,early,0.005558491289509856
571,destiny,0.005558491289509856
1647,position,0.005558491289509856
1650,possible,0.005558491289509856
1265,lend,0.005558491289509856
569,destination,0.005558491289509856
59,aide,0.005558491289509856
2152,tan,0.005558491289509856
379,climax,0.005558491289509856
630,draw,0.005558491289509856
1634,plenty,0.005558491289509856
862,fray,0.005558491289509856
1625,pla,0.005558491289509856
2368,vision,0.005558491289509856
1223,kingdom,0.005558491289509856
2303,unimaginable,0.005558491289509856
1607,personal,0.005558491289509856
1825,rival,0.005558491289509856
1599,pencil,0.005558491289509856
358,choice,0.005558491289509856
244,billion,0.005558491289509856
2163,tear,0.005558491289509856
8,50th,0.005558491289509856
2299,unexpected,0.005558491289509856
353,charles,0.005558491289509856
439,consume,0.005558491289509856
1031,hickman,0.005558491289509856
14,able,0.005558491289509856
2307,universal,0.005558491289509856
324,case,0.005558491289509856
260,blow,0.005558491289509856
1199,jumbonox,0.005558491289509856
1919,serial,0.005558491289509856
2202,throne,0.005558491289509856
454,corp,0.005558491289509856
562,department,0.005558491289509856
1507,nut,0.005558491289509856
2387,walker,0.005558491289509856
557,demonic,0.005558491289509856
307,byrne,0.005558491289509856
1080,hunger,0.005558491289509856
306,buy,0.005558491289509856
1913,sentient,0.005558491289509856
1908,sell,0.005558491289509856
689,eng,0.005558491289509856
1100,imagine,0.005558491289509856
2057,stagger,0.005558491289509856
1512,oblivion,0.005558491289509856
2411,web,0.005558491289509856
891,game,0.005558491289509856
2466,wrest,0.005558491289509856
452,core,0.005558491289509856
319,cardstock,0.005558491289509856
2386,walk,0.005558491289509856
2465,wrench,0.005558491289509856
673,emotion,0.005558491289509856
321,career,0.005558491289509856
841,forbid,0.005558491289509856
1761,recover,0.0050952836820507014
1794,restore,0.0050952836820507014
396,combine,0.004632076074591547
245,bind,0.004632076074591547
1496,none,0.004632076074591547
1933,shadow,0.004632076074591547
975,half,0.004632076074591547
1601,people,0.004632076074591547
956,group,0.004632076074591547
345,champion,0.004632076074591547
947,grey,0.004632076074591547
1741,realize,0.004632076074591547
440,contain,0.004632076074591547
655,ego,0.004632076074591547
459,cosmos,0.004168868467132392
227,believer,0.004168868467132392
1169,involve,0.004168868467132392
793,feast,0.004168868467132392
898,gather,0.004168868467132392
2255,tremble,0.004168868467132392
263,body,0.004168868467132392
863,free,0.004168868467132392
203,baron,0.004168868467132392
2248,trap,0.004168868467132392
213,beat,0.004168868467132392
1803,revenge,0.004168868467132392
736,evolve,0.004168868467132392
1162,invade,0.004168868467132392
494,crush,0.004168868467132392
987,happy,0.004168868467132392
1066,however,0.004168868467132392
1636,plot,0.004168868467132392
2207,thwart,0.004168868467132392
1905,seize,0.004168868467132392
1387,message,0.004168868467132392
765,fail,0.004168868467132392
1594,peace,0.004168868467132392
586,diabolical,0.004168868467132392
1710,question,0.004168868467132392
779,fare,0.004168868467132392
1533,onslaught,0.004168868467132392
2079,stephen,0.004168868467132392
1669,priest,0.004168868467132392
1873,say,0.004168868467132392
677,employment,0.004168868467132392
133,arena,0.004168868467132392
1209,keith,0.0037056608596732375
1939,shatter,0.0037056608596732375
325,casino,0.0037056608596732375
2358,victim,0.0037056608596732375
1061,horse,0.0037056608596732375
1206,karnilla,0.0037056608596732375
1059,horrify,0.0037056608596732375
1060,horror,0.0037056608596732375
2319,unstoppable,0.0037056608596732375
1936,shape,0.0037056608596732375
335,celebration,0.0037056608596732375
1048,homage,0.0037056608596732375
1220,kind,0.0037056608596732375
1963,simple,0.0037056608596732375
1962,simon,0.0037056608596732375
2304,unique,0.0037056608596732375
354,charlie,0.0037056608596732375
1221,kindness,0.0037056608596732375
1030,heroism,0.0037056608596732375
1032,hide,0.0037056608596732375
2316,unravel,0.0037056608596732375
1041,hitter,0.0037056608596732375
253,blemish,0.0037056608596732375
2363,villainous,0.0037056608596732375
1834,role,0.0037056608596732375
258,blood,0.0037056608596732375
1838,root,0.0037056608596732375
2324,unwonderful,0.0037056608596732375
1922,serpent,0.0037056608596732375
1200,jungle,0.0037056608596732375
1879,scheme,0.0037056608596732375
1134,inkandesha,0.0037056608596732375
1883,scientist,0.0037056608596732375
1858,salem,0.0037056608596732375
1882,science,0.0037056608596732375
1881,school,0.0037056608596732375
1860,salvation,0.0037056608596732375
1862,san,0.0037056608596732375
291,brother,0.0037056608596732375
275,brace,0.0037056608596732375
1149,intent,0.0037056608596732375
1874,scale,0.0037056608596732375
1168,invisible,0.0037056608596732375
1868,satiate,0.0037056608596732375
1156,interstellar,0.0037056608596732375
2342,vanish,0.0037056608596732375
2355,via,0.0037056608596732375
1077,humble,0.0037056608596732375
2333,usher,0.0037056608596732375
1079,hundred,0.0037056608596732375
1924,serum,0.0037056608596732375
1159,intrigue,0.0037056608596732375
264,bodyguard,0.0037056608596732375
